Run	Family	Languages	Tested	Accuracy
0	Atlantic-Congo	90	15	100.0
1	Atlantic-Congo	90	12	100.0
2	Atlantic-Congo	90	20	100.0
3	Atlantic-Congo	90	16	100.0
4	Atlantic-Congo	90	14	100.0
5	Atlantic-Congo	90	20	100.0
6	Atlantic-Congo	90	16	100.0
7	Atlantic-Congo	90	16	100.0
8	Atlantic-Congo	90	20	95.0
9	Atlantic-Congo	90	24	95.833
10	Atlantic-Congo	90	14	100.0
11	Atlantic-Congo	90	21	95.238
12	Atlantic-Congo	90	19	100.0
13	Atlantic-Congo	90	12	100.0
14	Atlantic-Congo	90	13	92.308
15	Atlantic-Congo	90	10	100.0
16	Atlantic-Congo	90	13	100.0
17	Atlantic-Congo	90	23	100.0
18	Atlantic-Congo	90	11	90.909
19	Atlantic-Congo	90	14	100.0
20	Atlantic-Congo	90	22	100.0
21	Atlantic-Congo	90	15	100.0
22	Atlantic-Congo	90	20	100.0
23	Atlantic-Congo	90	17	94.118
24	Atlantic-Congo	90	26	100.0
25	Atlantic-Congo	90	18	100.0
26	Atlantic-Congo	90	16	100.0
27	Atlantic-Congo	90	17	100.0
28	Atlantic-Congo	90	16	93.75
29	Atlantic-Congo	90	18	100.0
30	Atlantic-Congo	90	23	100.0
31	Atlantic-Congo	90	22	100.0
32	Atlantic-Congo	90	19	100.0
33	Atlantic-Congo	90	16	100.0
34	Atlantic-Congo	90	16	100.0
35	Atlantic-Congo	90	20	100.0
36	Atlantic-Congo	90	20	100.0
37	Atlantic-Congo	90	16	100.0
38	Atlantic-Congo	90	24	95.833
39	Atlantic-Congo	90	22	100.0
40	Atlantic-Congo	90	18	100.0
41	Atlantic-Congo	90	17	94.118
42	Atlantic-Congo	90	19	100.0
43	Atlantic-Congo	90	18	94.444
44	Atlantic-Congo	90	17	94.118
45	Atlantic-Congo	90	22	95.455
46	Atlantic-Congo	90	25	100.0
47	Atlantic-Congo	90	21	100.0
48	Atlantic-Congo	90	10	100.0
49	Atlantic-Congo	90	21	100.0
50	Atlantic-Congo	90	17	100.0
51	Atlantic-Congo	90	21	95.238
52	Atlantic-Congo	90	19	100.0
53	Atlantic-Congo	90	18	94.444
54	Atlantic-Congo	90	13	100.0
55	Atlantic-Congo	90	19	100.0
56	Atlantic-Congo	90	13	100.0
57	Atlantic-Congo	90	15	100.0
58	Atlantic-Congo	90	19	94.737
59	Atlantic-Congo	90	19	100.0
60	Atlantic-Congo	90	20	100.0
61	Atlantic-Congo	90	8	100.0
62	Atlantic-Congo	90	25	100.0
63	Atlantic-Congo	90	17	100.0
64	Atlantic-Congo	90	18	100.0
65	Atlantic-Congo	90	14	92.857
66	Atlantic-Congo	90	20	100.0
67	Atlantic-Congo	90	18	100.0
68	Atlantic-Congo	90	16	100.0
69	Atlantic-Congo	90	14	100.0
70	Atlantic-Congo	90	19	100.0
71	Atlantic-Congo	90	18	100.0
72	Atlantic-Congo	90	16	100.0
73	Atlantic-Congo	90	16	93.75
74	Atlantic-Congo	90	16	100.0
75	Atlantic-Congo	90	18	94.444
76	Atlantic-Congo	90	24	100.0
77	Atlantic-Congo	90	22	100.0
78	Atlantic-Congo	90	13	100.0
79	Atlantic-Congo	90	15	100.0
